because_CS,0.515895546,Absolute value then sorted from greatest to least,Mean,Median,,because_CS,0.515895546,Filter for words above the mean,because_CS,0.515895546,Get their original values,because_CS,0.515895546,,because_CS,0.515895546,All the positive values,Mean,Median,,because_CS,0.515895546,Filtered words >= to the Mean,,decision_NN,-0.107549152,All the negative values,Mean,Median,,office_NN,-0.179411725,Filtered words <= to the Mean,,,because_CS,Total: 176 Words
just_RB,0.307049134,,,,,just_RB,0.307049134,,sick_JJ,0.300687652,,just_RB,0.307049134,,sick_JJ,0.300687652,,0.192630528,,,sick_JJ,0.300687652,,,raising_VBG,-0.12388414,,-0.178273039,,,ways_NNS,-0.197615413,,,,sick_JJ,
this_DT,0.306786874,,,,,this_DT,0.306786874,,chance_NN,0.299321085,,this_DT,0.306786874,,chance_NN,0.299321085,,0.192630528,,,chance_NN,0.299321085,,,drug_NN,-0.124397965,,-0.178273039,,,interests_NNS,-0.201180462,,,,chance_NN,
now_RB,0.305530941,,,,,now_RB,0.305530941,,4_CD,0.298722269,,now_RB,0.305530941,,4_CD,0.298722269,,0.192630528,,,4_CD,0.298722269,,,leadership_NN,-0.125408616,,-0.178273039,,,heart_NN,-0.202283748,,,,4_CD,
we_PPSS,0.304108393,,,,,we_PPSS,0.304108393,,investing_VBG,0.296872862,,we_PPSS,0.304108393,,investing_VBG,0.296872862,,0.192630528,,,investing_VBG,0.296872862,,,markets_NNS,-0.126320375,,-0.178273039,,,seek_VB,-0.202332527,,,,investing_VBG,
willing_JJ,0.301895877,,,,,willing_JJ,0.301895877,,how_WRB,0.294207842,,willing_JJ,0.301895877,,how_WRB,0.294207842,,0.192630528,,,how_WRB,0.294207842,,,capital_NN,-0.127664748,,-0.178273039,,,rights_NNS,-0.203480154,,,,how_WRB,
sick_JJ,0.300687652,,,,,sick_JJ,0.300687652,,wealthiest_JJT,0.287482453,,sick_JJ,0.300687652,,wealthiest_JJT,0.287482453,,0.192630528,,,wealthiest_JJT,0.287482453,,,security_NN,-0.128219992,,-0.178273039,,,direction_NN,-0.20510426,,,,wealthiest_JJT,
will_MD,0.300357651,,,,,will_MD,0.300357651,,after_IN,0.282935003,,will_MD,-0.300357651,,after_IN,0.282935003,,0.192630528,,,after_IN,0.282935003,,,challenge_NN,-0.130012657,,-0.178273039,,,cause_NN,-0.207304443,,,,after_IN,
chance_NN,0.299321085,,,,,chance_NN,0.299321085,,sure_JJ,0.28228481,,chance_NN,0.299321085,,sure_JJ,0.28228481,,0.192630528,,,sure_JJ,0.28228481,,,freedom_NN,-0.130757861,,-0.178273039,,,serious_JJ,-0.208004019,,,,sure_JJ,
4_CD,0.298722269,,,,,4_CD,0.298722269,,afford_VB,0.280956274,,4_CD,0.298722269,,afford_VB,0.280956274,,0.192630528,,,afford_VB,0.280956274,,,available_JJ,-0.131480725,,-0.178273039,,,his_PP$,-0.209409068,,,,afford_VB,
investing_VBG,0.296872862,,,,,investing_VBG,0.296872862,,we'll_PPSS,0.27929337,,investing_VBG,0.296872862,,we'll_PPSS,0.27929337,,0.192630528,,,we'll_PPSS,0.27929337,,,longer_RBR,-0.132128452,,-0.178273039,,,power_NN,-0.211466707,,,,we'll_PPSS,
the_AT,0.294418347,,,,,the_AT,0.294418347,,breaks_VBZ,0.274325426,,the_AT,-0.294418347,,breaks_VBZ,0.274325426,,0.192630528,,,breaks_VBZ,0.274325426,,,international_JJ,-0.132900509,,-0.178273039,,,reforms_NNS,-0.213416624,,,,breaks_VBZ,
how_WRB,0.294207842,,,,,how_WRB,0.294207842,,right_QL,0.273524934,,how_WRB,0.294207842,,right_QL,0.273524934,,0.192630528,,,right_QL,0.273524934,,,interest_NN,-0.132902474,,-0.178273039,,,wrong_JJ,-0.219115836,,,,right_QL,
among_IN,0.289292239,,,,,among_IN,0.289292239,,here_RB,0.271450842,,among_IN,-0.289292239,,here_RB,0.271450842,,0.192630528,,,here_RB,0.271450842,,,president_NN,-0.133295571,,-0.178273039,,,record_NN,-0.220874626,,,,here_RB,
wealthiest_JJT,0.287482453,,,,,wealthiest_JJT,0.287482453,,mccain_NP,0.268486222,,wealthiest_JJT,0.287482453,,mccain_NP,0.268486222,,0.192630528,,,mccain_NP,0.268486222,,,act_VB,-0.133919961,,-0.178273039,,,and_CC,-0.222703372,,,,mccain_NP,
after_IN,0.282935003,,,,,after_IN,0.282935003,,want_VB,0.268431663,,after_IN,0.282935003,,want_VB,0.268431663,,0.192630528,,,want_VB,0.268431663,,,be_BE,-0.134472791,,-0.178273039,,,never_RB,-0.222764402,,,,want_VB,
sure_JJ,0.28228481,,,,,sure_JJ,0.28228481,,go_VB,0.268141732,,sure_JJ,0.28228481,,go_VB,0.268141732,,0.192630528,,,go_VB,0.268141732,,,great_JJ,-0.134504117,,-0.178273039,,,course_NN,-0.225898574,,,,go_VB,
spending_NN,0.281608899,,,,,spending_NN,0.281608899,,doing_VBG,0.266848239,,spending_NN,-0.281608899,,doing_VBG,0.266848239,,0.192630528,,,doing_VBG,0.266848239,,,administration_NN,-0.134743752,,-0.178273039,,,my_PP$,-0.227548444,,,,doing_VBG,
afford_VB,0.280956274,,,,,afford_VB,0.280956274,,rebuilding_VBG,0.258592928,,afford_VB,0.280956274,,rebuilding_VBG,0.258592928,,0.192630528,,,rebuilding_VBG,0.258592928,,,trust_NN,-0.135020811,,-0.178273039,,,any_DTI,-0.229478047,,,,rebuilding_VBG,
to_IN,0.27932403,,,,,to_IN,0.27932403,,that's_WPS,0.257990861,,to_IN,-0.27932403,,that's_WPS,0.257990861,,0.192630528,,,that's_WPS,0.257990861,,,have_HV,-0.1356719,,-0.178273039,,,has_HVZ,-0.229820048,,,,that's_WPS,
we'll_PPSS,0.27929337,,,,,we'll_PPSS,0.27929337,,forward_RB,0.255281337,,we'll_PPSS,0.27929337,,forward_RB,0.255281337,,0.192630528,,,forward_RB,0.255281337,,,trade_NN,-0.135718185,,-0.178273039,,,very_QL,-0.233403691,,,,forward_RB,
increase_NN,0.274656529,,,,,increase_NN,0.274656529,,you're_PPSS,0.25490422,,increase_NN,-0.274656529,,you're_PPSS,0.25490422,,0.192630528,,,you're_PPSS,0.25490422,,,character_NN,-0.138597096,,-0.178273039,,,business_NN,-0.234270855,,,,you're_PPSS,
breaks_VBZ,0.274325426,,,,,breaks_VBZ,0.274325426,,young_JJ,0.254208412,,breaks_VBZ,0.274325426,,young_JJ,0.254208412,,0.192630528,,,young_JJ,0.254208412,,,both_ABX,-0.13924501,,-0.178273039,,,others_NNS,-0.23781561,,,,young_JJ,
right_QL,0.273524934,,,,,right_QL,0.273524934,,2_CD,0.25302371,,right_QL,0.273524934,,2_CD,0.25302371,,0.192630528,,,2_CD,0.25302371,,,nuclear_JJ,-0.139418473,,-0.178273039,,,its_PP$,-0.238611091,,,,2_CD,
here_RB,0.271450842,,,,,here_RB,0.271450842,,tell_VB,0.252115238,,here_RB,0.271450842,,tell_VB,0.252115238,,0.192630528,,,tell_VB,0.252115238,,,right_JJ,-0.140481614,,-0.178273039,,,such_JJ,-0.238748673,,,,tell_VB,
would_MD,0.269719073,,,,,would_MD,0.269719073,,21st_OD,0.250797198,,would_MD,-0.269719073,,21st_OD,0.250797198,,0.192630528,,,21st_OD,0.250797198,,,in_IN,-0.14056798,,-0.178273039,,,much_QL,-0.246177544,,,,21st_OD,
mccain_NP,0.268486222,,,,,mccain_NP,0.268486222,,they're_PPSS,0.250573209,,mccain_NP,0.268486222,,they're_PPSS,0.250573209,,0.192630528,,,they're_PPSS,0.250573209,,,cost_NN,-0.142593315,,-0.178273039,,,he_PPS,-0.253123811,,,,they're_PPSS,
want_VB,0.268431663,,,,,want_VB,0.268431663,,who's_WPS,0.250327923,,want_VB,0.268431663,,who's_WPS,0.250327923,,0.192630528,,,who's_WPS,0.250327923,,,rising_VBG,-0.143201816,,-0.178273039,,,case_NN,-0.258074098,,,,who's_WPS,
go_VB,0.268141732,,,,,go_VB,0.268141732,,need_VB,0.245308884,,go_VB,0.268141732,,need_VB,0.245308884,,0.192630528,,,need_VB,0.245308884,,,lost_VBN,-0.146256873,,-0.178273039,,,dollars_NNS,-0.258265115,,,,need_VB,
doing_VBG,0.266848239,,,,,doing_VBG,0.266848239,,if_CS,0.244429663,,doing_VBG,0.266848239,,if_CS,0.244429663,,0.192630528,,,if_CS,0.244429663,,,personal_JJ,-0.14713344,,-0.178273039,,,life_NN,-0.262964994,,,,if_CS,
most_QL,0.263435861,,,,,most_QL,0.263435861,,remind_VB,0.242907034,,most_QL,-0.263435861,,remind_VB,0.242907034,,0.192630528,,,remind_VB,0.242907034,,,hold_VB,-0.147720683,,-0.178273039,,,most_QL,-0.263435861,,,,remind_VB,
life_NN,0.262964994,,,,,life_NN,0.262964994,,can_MD,0.241929608,,life_NN,-0.262964994,,can_MD,0.241929608,,0.192630528,,,can_MD,0.241929608,,,made_VBN,-0.150150312,,-0.178273039,,,would_MD,-0.269719073,,,,can_MD,
rebuilding_VBG,0.258592928,,,,,rebuilding_VBG,0.258592928,,companies_NNS,0.240698982,,rebuilding_VBG,0.258592928,,companies_NNS,0.240698982,,0.192630528,,,companies_NNS,0.240698982,,,must_MD,-0.150583984,,-0.178273039,,,increase_NN,-0.274656529,,,,companies_NNS,
dollars_NNS,0.258265115,,,,,dollars_NNS,0.258265115,,we're_PPSS,0.240613636,,dollars_NNS,-0.258265115,,we're_PPSS,0.240613636,,0.192630528,,,we're_PPSS,0.240613636,,,nation's_NN$,-0.151104585,,-0.178273039,,,to_IN,-0.27932403,,,,we're_PPSS,
case_NN,0.258074098,,,,,case_NN,0.258074098,,because_RB,0.238823134,,case_NN,-0.258074098,,because_RB,0.238823134,,0.192630528,,,because_RB,0.238823134,,,under_IN,-0.152020965,,-0.178273039,,,spending_NN,-0.281608899,,,,because_RB,
that's_WPS,0.257990861,,,,,that's_WPS,0.257990861,,members_NNS,0.236979411,,that's_WPS,0.257990861,,members_NNS,0.236979411,,0.192630528,,,members_NNS,0.236979411,,,national_JJ,-0.152027934,,-0.178273039,,,among_IN,-0.289292239,,,,members_NNS,
forward_RB,0.255281337,,,,,forward_RB,0.255281337,,3_CD,0.23642829,,forward_RB,0.255281337,,3_CD,0.23642829,,0.192630528,,,3_CD,0.23642829,,,within_IN,-0.152028028,,-0.178273039,,,the_AT,-0.294418347,,,,3_CD,
you're_PPSS,0.25490422,,,,,you're_PPSS,0.25490422,,here's_RB,0.235398246,,you're_PPSS,0.25490422,,here's_RB,0.235398246,,0.192630528,,,here's_RB,0.235398246,,,achieve_VB,-0.152059781,,-0.178273039,,,will_MD,-0.300357651,,,,here's_RB,
young_JJ,0.254208412,,,,,young_JJ,0.254208412,,it's_PPS,0.234727063,,young_JJ,0.254208412,,it's_PPS,0.234727063,,0.192630528,,,it's_PPS,0.234727063,,,only_RB,-0.152760814,,-0.178273039,,,of_IN,-0.31330516,,,,it's_PPS,
he_PPS,0.253123811,,,,,he_PPS,0.253123811,,try_VB,0.234084846,,he_PPS,-0.253123811,,try_VB,0.234084846,,0.192630528,,,try_VB,0.234084846,,,fight_VB,-0.153570797,,-0.178273039,,,elected_VBN,-0.333500386,,,,try_VB,
2_CD,0.25302371,,,,,2_CD,0.25302371,,deficit_NN,0.233529517,,2_CD,0.25302371,,deficit_NN,0.233529517,,0.192630528,,,deficit_NN,0.233529517,,,with_IN,-0.155623021,,-0.178273039,,,government_NN,-0.353634135,,,,deficit_NN,
tell_VB,0.252115238,,,,,tell_VB,0.252115238,,down_RP,0.23338286,,tell_VB,0.252115238,,down_RP,0.23338286,,0.192630528,,,down_RP,0.23338286,,,sell_VB,-0.15625098,,-0.178273039,,,greater_JJR,-0.354763159,,,,down_RP,
21st_OD,0.250797198,,,,,21st_OD,0.250797198,,main_JJS,0.233094907,,21st_OD,0.250797198,,main_JJS,0.233094907,,0.192630528,,,main_JJS,0.233094907,,,whatever_WDT.,-0.156401851,,-0.178273039,,,obama_NP,-0.403758908,,,,main_JJS,
they're_PPSS,0.250573209,,,,,they're_PPSS,0.250573209,,hard_RB,0.232590592,,they're_PPSS,0.250573209,,hard_RB,0.232590592,,0.192630528,,,hard_RB,0.232590592,,,used_VBN,-0.157240216,,-0.178273039,,,,,,,,hard_RB,
who's_WPS,0.250327923,,,,,who's_WPS,0.250327923,,able_JJ,0.232172336,,who's_WPS,0.250327923,,able_JJ,0.232172336,,0.192630528,,,able_JJ,0.232172336,,,him_PPO,-0.157271145,,-0.178273039,,,,,,,,able_JJ,
much_QL,0.246177544,,,,,much_QL,0.246177544,,change_NN,0.232098805,,much_QL,-0.246177544,,change_NN,0.232098805,,0.192630528,,,change_NN,0.232098805,,,again_RB,-0.157789589,,-0.178273039,,,,,,,,change_NN,
need_VB,0.245308884,,,,,need_VB,0.245308884,,see_VB,0.231969635,,need_VB,0.245308884,,see_VB,0.231969635,,0.192630528,,,see_VB,0.231969635,,,much_AP,-0.158996854,,-0.178273039,,,,,,,,see_VB,
if_CS,0.244429663,,,,,if_CS,0.244429663,,tuition_NN,0.229055565,,if_CS,0.244429663,,tuition_NN,0.229055565,,0.192630528,,,tuition_NN,0.229055565,,,political_JJ,-0.159125756,,-0.178273039,,,,,,,,tuition_NN,
remind_VB,0.242907034,,,,,remind_VB,0.242907034,,there's_EX,0.228729408,,remind_VB,0.242907034,,there's_EX,0.228729408,,0.192630528,,,there's_EX,0.228729408,,,much_RB,-0.160592969,,-0.178273039,,,,,,,,there's_EX,
can_MD,0.241929608,,,,,can_MD,0.241929608,,what's_WDT.,0.228371661,,can_MD,0.241929608,,what's_WDT.,0.228371661,,0.192630528,,,what's_WDT.,0.228371661,,,right_NN,-0.161117033,,-0.178273039,,,,,,,,what's_WDT.,
companies_NNS,0.240698982,,,,,companies_NNS,0.240698982,,10_CD,0.226938317,,companies_NNS,0.240698982,,10_CD,0.226938317,,0.192630528,,,10_CD,0.226938317,,,choices_NNS,-0.16184026,,-0.178273039,,,,,,,,10_CD,
we're_PPSS,0.240613636,,,,,we're_PPSS,0.240613636,,bless_VB,0.225808142,,we're_PPSS,0.240613636,,bless_VB,0.225808142,,0.192630528,,,bless_VB,0.225808142,,,efforts_NNS,-0.162783078,,-0.178273039,,,,,,,,bless_VB,
because_RB,0.238823134,,,,,because_RB,0.238823134,,same_AP,0.225402863,,because_RB,0.238823134,,same_AP,0.225402863,,0.192630528,,,same_AP,0.225402863,,,friends_NNS,-0.163767182,,-0.178273039,,,,,,,,same_AP,
such_JJ,0.238748673,,,,,such_JJ,0.238748673,,republicans_NPS,0.223934784,,such_JJ,-0.238748673,,republicans_NPS,0.223934784,,0.192630528,,,republicans_NPS,0.223934784,,,action_NN,-0.164145038,,-0.178273039,,,,,,,,republicans_NPS,
its_PP$,0.238611091,,,,,its_PP$,0.238611091,,colleges_NNS,0.223156271,,its_PP$,-0.238611091,,colleges_NNS,0.223156271,,0.192630528,,,colleges_NNS,0.223156271,,,balanced_VBN,-0.166789109,,-0.178273039,,,,,,,,colleges_NNS,
others_NNS,0.23781561,,,,,others_NNS,0.23781561,,corporations_NNS,0.221083348,,others_NNS,-0.23781561,,corporations_NNS,0.221083348,,0.192630528,,,corporations_NNS,0.221083348,,,before_IN,-0.167652112,,-0.178273039,,,,,,,,corporations_NNS,
members_NNS,0.236979411,,,,,members_NNS,0.236979411,,election_NN,0.219677847,,members_NNS,0.236979411,,election_NN,0.219677847,,0.192630528,,,election_NN,0.219677847,,,left_VBN,-0.168682541,,-0.178273039,,,,,,,,election_NN,
3_CD,0.23642829,,,,,3_CD,0.23642829,,audience_NN,0.219566484,,3_CD,0.23642829,,audience_NN,0.219566484,,0.192630528,,,audience_NN,0.219566484,,,america's_NP$,-0.169952694,,-0.178273039,,,,,,,,audience_NN,
here's_RB,0.235398246,,,,,here's_RB,0.235398246,,you've_PPSS,0.219448947,,here's_RB,0.235398246,,you've_PPSS,0.219448947,,0.192630528,,,you've_PPSS,0.219448947,,,experience_NN,-0.171449223,,-0.178273039,,,,,,,,you've_PPSS,
it's_PPS,0.234727063,,,,,it's_PPS,0.234727063,,some_DTI,0.217762382,,it's_PPS,0.234727063,,some_DTI,0.217762382,,0.192630528,,,some_DTI,0.217762382,,,better_JJR,-0.173148041,,-0.178273039,,,,,,,,some_DTI,
business_NN,0.234270855,,,,,business_NN,0.234270855,,2008_CD,0.217406702,,business_NN,-0.234270855,,2008_CD,0.217406702,,0.192630528,,,2008_CD,0.217406702,,,defend_VB,-0.174403068,,-0.178273039,,,,,,,,2008_CD,
try_VB,0.234084846,,,,,try_VB,0.234084846,,up_RP,0.216340433,,try_VB,0.234084846,,up_RP,0.216340433,,0.192630528,,,up_RP,0.216340433,,,opportunities_NNS,-0.174606171,,-0.178273039,,,,,,,,up_RP,
deficit_NN,0.233529517,,,,,deficit_NN,0.233529517,,depression_NN,0.215746659,,deficit_NN,0.233529517,,depression_NN,0.215746659,,0.192630528,,,depression_NN,0.215746659,,,taxes_NNS,-0.174644567,,-0.178273039,,,,,,,,depression_NN,
very_QL,0.233403691,,,,,very_QL,0.233403691,,made_VBD,0.21523136,,very_QL,-0.233403691,,made_VBD,0.21523136,,0.192630528,,,made_VBD,0.21523136,,,raise_VB,-0.174659782,,-0.178273039,,,,,,,,made_VBD,
down_RP,0.23338286,,,,,down_RP,0.23338286,,century_NN,0.210280425,,down_RP,0.23338286,,century_NN,0.210280425,,0.192630528,,,century_NN,0.210280425,,,more_QL,-0.175750309,,-0.178273039,,,,,,,,century_NN,
main_JJS,0.233094907,,,,,main_JJS,0.233094907,,asking_VBG,0.209834959,,main_JJS,0.233094907,,asking_VBG,0.209834959,,0.192630528,,,asking_VBG,0.209834959,,,hands_NNS,-0.177069239,,-0.178273039,,,,,,,,asking_VBG,
hard_RB,0.232590592,,,,,hard_RB,0.232590592,,idea_NN,0.209780069,,hard_RB,0.232590592,,idea_NN,0.209780069,,0.192630528,,,idea_NN,0.209780069,,,federal_JJ,-0.177598493,,-0.178273039,,,,,,,,idea_NN,
able_JJ,0.232172336,,,,,able_JJ,0.232172336,,reason_NN,0.209610208,,able_JJ,0.232172336,,reason_NN,0.209610208,,0.192630528,,,reason_NN,0.209610208,,,office_NN,-0.179411725,,-0.178273039,,,,,,,,reason_NN,
change_NN,0.232098805,,,,,change_NN,0.232098805,,they've_PPSS,0.209328281,,change_NN,0.232098805,,they've_PPSS,0.209328281,,0.192630528,,,they've_PPSS,0.209328281,,,bad_JJ,-0.18046086,,-0.178273039,,,,,,,,they've_PPSS,
see_VB,0.231969635,,,,,see_VB,0.231969635,,class_NN,0.208610337,,see_VB,0.231969635,,class_NN,0.208610337,,0.192630528,,,class_NN,0.208610337,,,history_NN,-0.180676704,,-0.178273039,,,,,,,,class_NN,
has_HVZ,0.229820048,,,,,has_HVZ,0.229820048,,united_VBN,0.207840699,,has_HVZ,-0.229820048,,united_VBN,0.207840699,,0.192630528,,,united_VBN,0.207840699,,,public_JJ,-0.181741906,,-0.178273039,,,,,,,,united_VBN,
any_DTI,0.229478047,,,,,any_DTI,0.229478047,,working_VBG,0.207644934,,any_DTI,-0.229478047,,working_VBG,0.207644934,,0.192630528,,,working_VBG,0.207644934,,,as_CS,-0.182471746,,-0.178273039,,,,,,,,working_VBG,
tuition_NN,0.229055565,,,,,tuition_NN,0.229055565,,you'll_PPSS,0.207524554,,tuition_NN,0.229055565,,you'll_PPSS,0.207524554,,0.192630528,,,you'll_PPSS,0.207524554,,,someone_PN,-0.183430705,,-0.178273039,,,,,,,,you'll_PPSS,
there's_EX,0.228729408,,,,,there's_EX,0.228729408,,when_WRB,0.20689855,,there's_EX,0.228729408,,when_WRB,0.20689855,,0.192630528,,,when_WRB,0.20689855,,,other_AP,-0.184391822,,-0.178273039,,,,,,,,when_WRB,
what's_WDT.,0.228371661,,,,,what's_WDT.,0.228371661,,can't_MD,0.203719568,,what's_WDT.,0.228371661,,can't_MD,0.203719568,,0.192630528,,,can't_MD,0.203719568,,,many_AP,-0.184587362,,-0.178273039,,,,,,,,can't_MD,
my_PP$,0.227548444,,,,,my_PP$,0.227548444,,give_VB,0.203493051,,my_PP$,-0.227548444,,give_VB,0.203493051,,0.192630528,,,give_VB,0.203493051,,,until_CS,-0.185583518,,-0.178273039,,,,,,,,give_VB,
10_CD,0.226938317,,,,,10_CD,0.226938317,,john_NP,0.199739287,,10_CD,0.226938317,,john_NP,0.199739287,,0.192630528,,,john_NP,0.199739287,,,wealth_NN,-0.187943345,,-0.178273039,,,,,,,,john_NP,
course_NN,0.225898574,,,,,course_NN,0.225898574,,cuts_VBZ,0.198266971,,course_NN,-0.225898574,,cuts_VBZ,0.198266971,,0.192630528,,,cuts_VBZ,0.198266971,,,lead_VB,-0.187948695,,-0.178273039,,,,,,,,cuts_VBZ,
bless_VB,0.225808142,,,,,bless_VB,0.225808142,,anybody_PN,0.197661084,,bless_VB,0.225808142,,anybody_PN,0.197661084,,0.192630528,,,anybody_PN,0.197661084,,,senator_NN,-0.188189561,,-0.178273039,,,,,,,,anybody_PN,
same_AP,0.225402863,,,,,same_AP,0.225402863,,they'll_PPSS,0.197337836,,same_AP,0.225402863,,they'll_PPSS,0.197337836,,0.192630528,,,they'll_PPSS,0.197337836,,,answer_NN,-0.188268245,,-0.178273039,,,,,,,,they'll_PPSS,
republicans_NPS,0.223934784,,,,,republicans_NPS,0.223934784,,look_VB,0.19670318,,republicans_NPS,0.223934784,,look_VB,0.19670318,,0.192630528,,,look_VB,0.19670318,,,courage_NN,-0.189740978,,-0.178273039,,,,,,,,look_VB,
